,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
73,5106841,Albany,87,US,1655102517,93,42.6001,-73.9662,65.39,2.77
74,4013679,Coahuayana Viejo,93,MX,1655102517,81,18.7333,-103.6833,78.94,2.44
75,4013679,Coahuayana Viejo,93,MX,1655102517,81,18.7333,-103.6833,78.94,2.44
76,2109528,Buala,31,SB,1655102518,78,-8.145,159.5921,81.12,7.49
77,2098329,Daru,55,PG,1655102518,89,-9.0763,143.2092,79.43,15.75
78,1267390,Kavaratti,100,IN,1655102232,75,10.5669,72.642,83.08,16.08
79,1736356,Tumpat,20,MY,1655102519,66,6.1978,102.171,89.58,9.22
80,3366880,Hermanus,100,ZA,1655102520,82,-34.4187,19.2345,60.8,11.81
81,2012956,Yerbogachën,100,RU,1655102520,38,61.2767,108.0108,68.09,3.02
82,2012956,Yerbogachën,100,RU,1655102520,38,61.2767,108.0108,68.09,3.02
83,2012956,Yerbogachën,100,RU,1655102520,38,61.2767,108.0108,68.09,3.02
84,5861897,Fairbanks,100,US,1655102401,60,64.8378,-147.7164,62.56,1.01
85,2141714,Bourail,100,NC,1655102523,87,-21.5667,165.4833,70.66,6.51
86,324190,Alanya,6,TR,1655102523,69,36.5438,31.9998,78.93,5.84
87,6165406,Thompson,40,CA,1655102524,82,55.7435,-97.8558,51.96,2.3
88,2208248,Kaitangata,98,NZ,1655102524,80,-46.2817,169.8464,44.47,15.86
89,4862034,Iowa City,0,US,1655102525,83,41.6611,-91.5302,75.15,8.05
90,2014078,Urusha,100,RU,1655102525,66,54.05,122.9,67.24,5.01
91,3695844,Lagunas,87,PE,1655102526,93,-5.2269,-75.6753,64.98,3.09
92,4673258,Beeville,75,US,1655102526,89,28.4008,-97.7483,80.62,14.97
93,4673258,Beeville,75,US,1655102526,89,28.4008,-97.7483,80.62,14.97
94,1507390,Dikson,100,RU,1655102527,90,73.5069,80.5464,30.63,17.05
95,3361934,Saldanha,100,ZA,1655102528,92,-33.0117,17.9442,55.45,19.1
96,2565056,Punta Umbría,56,ES,1655102528,58,37.1821,-6.9661,71.24,5.57
97,2637762,Skegness,4,GB,1655102529,74,53.1436,0.3363,56.57,13.51
98,863061,Usinsk,1,RU,1655102529,24,65.9939,57.5281,57.34,8.97
99,2128975,Nemuro,100,JP,1655102492,85,43.3236,145.575,48.04,17.72
100,3576994,Cockburn Town,7,TC,1655102530,82,21.4612,-71.1419,80.08,21.27
101,1280037,Shache,79,CN,1655102531,14,38.4167,77.2406,92.28,1.92
102,5859699,College,100,US,1655102531,60,64.8569,-147.8028,62.55,0.0
103,1696177,Bahile,100,PH,1655102532,68,9.9995,118.7878,91.27,2.75
104,5983720,Iqaluit,75,CA,1655102532,87,63.7506,-68.5145,35.33,9.22
105,5003952,Northview,0,US,1655102533,75,43.0456,-85.6006,62.24,4.61
106,2448083,Agadez,0,NE,1655102533,18,19.75,10.25,90.07,15.82
107,2035601,Mergen,100,CN,1655102534,60,49.1833,125.2167,72.18,12.48
